window,n_features,best_features,RMSE,R2,MAPE
1,4,"('sil_70', 'sil_80', 'sil_accumulated_10', 'sil_accumulated_70')",0.33039316464984164,0.8411890387186554,0.2760627061523358
2,4,"('sil_50', 'sil_70', 'sil_accumulated_20', 'sil_accumulated_70')",0.3271548853780505,0.8442868871202742,0.28072323715036285
3,4,"('sil_50', 'sil_70', 'sil_accumulated_30', 'sil_accumulated_70')",0.3243230342194361,0.8469709240743356,0.2818797142369285
4,4,"('sil_40', 'sil_60', 'sil_accumulated_60', 'sil_accumulated_70')",0.3508861748737981,0.8208771951888225,0.3127088562744492
5,1,"('sil_50',)",0.5151695412800994,0.613883178059456,0.36719539157690667
6,2,"('sil_70', 'sil_accumulated_60')",0.8089954298446063,0.04783874944772659,0.7372087251590711
7,1,"('sil_70',)",0.8209794975104927,0.01942009289723734,0.7639106030220615
