window,n_features,best_features,precision,recall,f1
0,1,"('sil_0',)",1.0,0.3333333333333333,0.5
1,3,"('sil_10', 'sil_30', 'sil_accumulated_20')",0.5555555555555556,0.5555555555555556,0.5555555555555556
2,2,"('sil_accumulated_20', 'sil_accumulated_40')",0.5,0.7777777777777778,0.6086956521739131
3,1,"('sil_30',)",0.6666666666666666,0.2222222222222222,0.3333333333333333
4,1,"('sil_accumulated_40',)",0.23529411764705882,0.8888888888888888,0.3720930232558139
5,1,"('sil_50',)",0.24242424242424243,0.8888888888888888,0.38095238095238093
