window,n_features,best_features,FN,precision,recall,f1
0,3,"('sil_0', 'sil_20', 'sil_40')",2,0.6111111111111112,0.8461538461538461,0.7096774193548387
1,2,"('sil_40', 'sil_accumulated_10')",2,0.6111111111111112,0.8461538461538461,0.7096774193548387
2,2,"('sil_50', 'sil_accumulated_20')",2,0.5789473684210527,0.8461538461538461,0.6875
3,5,"('sil_40', 'sil_50', 'sil_accumulated_30', 'sil_accumulated_40', 'sil_accumulated_50')",2,0.3142857142857143,0.8461538461538461,0.45833333333333337
4,1,"('sil_40',)",1,0.2926829268292683,0.9230769230769231,0.4444444444444444
5,1,"('sil_50',)",2,0.3333333333333333,0.8461538461538461,0.47826086956521735
