window,n_features,best_features,recall,precision,f1
0,3,"('sil_0', 'sil_20', 'sil_40')",0.7777777777777778,0.4375,0.56
1,2,"('sil_accumulated_10', 'sil_accumulated_40')",0.8888888888888888,0.5,0.64
2,1,"('sil_20',)",0.7777777777777778,0.4117647058823529,0.5384615384615384
3,4,"('sil_40', 'sil_50', 'sil_accumulated_30', 'sil_accumulated_50')",0.8888888888888888,0.22857142857142856,0.3636363636363636
4,1,"('sil_40',)",0.8888888888888888,0.17391304347826086,0.29090909090909095
5,1,"('sil_50',)",0.8888888888888888,0.24242424242424243,0.38095238095238093
