window,n_features,best_features,precision,recall,f1
0,4,"('sil_0', 'sil_30', 'sil_40', 'sil_accumulated_40')",0.7272727272727273,0.6153846153846154,0.6666666666666667
1,5,"('sil_40', 'sil_50', 'sil_accumulated_10', 'sil_accumulated_20', 'sil_accumulated_40')",0.7333333333333333,0.8461538461538461,0.7857142857142856
2,2,"('sil_20', 'sil_accumulated_40')",0.7142857142857143,0.7692307692307693,0.7407407407407408
3,2,"('sil_30', 'sil_40')",0.5714285714285714,0.3076923076923077,0.4
4,3,"('sil_40', 'sil_50', 'sil_accumulated_50')",0.34375,0.8461538461538461,0.4888888888888889
5,1,"('sil_50',)",0.3333333333333333,0.8461538461538461,0.47826086956521735
