window,n_features,best_features,MAPE,R2,RMSE
1,3,"('sil_20', 'sil_80', 'sil_accumulated_10')",0.26471389586183824,0.8153349949952451,0.3562731696905093
2,2,"('sil_80', 'sil_accumulated_20')",0.2695351477354928,0.8301231288367366,0.34171020051779477
3,2,"('sil_80', 'sil_accumulated_30')",0.26927641262265917,0.8192672612640266,0.35245950862268954
4,2,"('sil_80', 'sil_accumulated_40')",0.29648160487893727,0.739957709147316,0.42277841691613094
5,1,"('sil_50',)",0.36719539157690667,0.613883178059456,0.5151695412800994
6,1,"('sil_60',)",0.6614091722265594,-0.11653295065541491,0.8760453499192307
7,1,"('sil_accumulated_70',)",0.7638153355062601,-0.03017768977279256,0.8414859840706717
