window,n_features,best_features,f1,precision,recall
0,5,"('sil_0', 'sil_10', 'sil_40', 'sil_50', 'sil_accumulated_30')",0.8095238095238095,0.918918918918919,0.723404255319149
1,4,"('sil_40', 'sil_50', 'sil_accumulated_10', 'sil_accumulated_30')",0.8235294117647057,0.9210526315789473,0.7446808510638298
2,2,"('sil_50', 'sil_accumulated_20')",0.7951807228915662,0.9166666666666666,0.7021276595744681
3,3,"('sil_40', 'sil_50', 'sil_accumulated_30')",0.6842105263157894,0.896551724137931,0.5531914893617021
4,1,"('sil_accumulated_40',)",0.4761904761904763,0.9375,0.3191489361702128
5,1,"('sil_50',)",0.4193548387096774,0.8666666666666667,0.2765957446808511
