window,n_features,best_features,precision,recall,f1
0,1,"('sil_0',)",1.0,0.2978723404255319,0.45901639344262296
1,1,"('sil_10',)",1.0,0.3404255319148936,0.5079365079365079
2,2,"('sil_20', 'sil_accumulated_20')",0.967741935483871,0.6382978723404256,0.7692307692307693
3,2,"('sil_30', 'sil_accumulated_30')",0.92,0.48936170212765956,0.6388888888888888
4,1,"('sil_accumulated_40',)",0.9375,0.3191489361702128,0.4761904761904763
5,1,"('sil_50',)",0.8666666666666667,0.2765957446808511,0.4193548387096774
