window,n_features,best_features,precision,recall,f1
0,3,"('sil_0', 'sil_30', 'sil_50')",0.8823529411764706,0.5769230769230769,0.6976744186046512
1,1,"('sil_10',)",0.875,0.5384615384615384,0.6666666666666667
2,3,"('sil_20', 'sil_30', 'sil_50')",0.8571428571428571,0.6923076923076923,0.7659574468085107
3,2,"('sil_30', 'sil_50')",0.8571428571428571,0.46153846153846156,0.6
4,1,"('sil_40',)",0.5714285714285714,0.15384615384615385,0.24242424242424246
5,1,"('sil_50',)",0.5365853658536586,0.8461538461538461,0.6567164179104478
