window,n_features,best_features,f1,precision,recall
0,5,"('sil_20', 'sil_40', 'sil_50', 'sil_accumulated_0', 'sil_accumulated_20')",0.7586206896551724,0.6875,0.8461538461538461
1,5,"('sil_40', 'sil_50', 'sil_accumulated_10', 'sil_accumulated_20', 'sil_accumulated_40')",0.7857142857142856,0.7333333333333333,0.8461538461538461
2,2,"('sil_20', 'sil_accumulated_40')",0.7407407407407408,0.7142857142857143,0.7692307692307693
3,5,"('sil_40', 'sil_50', 'sil_accumulated_30', 'sil_accumulated_40', 'sil_accumulated_50')",0.45833333333333337,0.3142857142857143,0.8461538461538461
4,3,"('sil_40', 'sil_50', 'sil_accumulated_50')",0.4888888888888889,0.34375,0.8461538461538461
5,1,"('sil_50',)",0.47826086956521735,0.3333333333333333,0.8461538461538461
