fecha,global_peak,event,sil_0,sil_10,sil_20,sil_30,sil_40,sil_50,sil_accumulated_0,sil_accumulated_10,sil_accumulated_20,sil_accumulated_30,sil_accumulated_40,sil_accumulated_50
2022-03-11 11:40:00,0.3369,False,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0
2022-03-11 13:50:00,0.349,False,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2022-03-18 17:20:00,1.505,False,2.6,5.0,4.6,1.2,0.0,0.0,13.4,10.8,5.8,1.2,0.0,0.0
2022-03-22 18:10:00,3.705,True,25.8,17.6,0.0,0.4,2.0,0.2,46.0,20.2,2.6,2.6,2.2,0.2
2022-03-23 07:00:00,3.746,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 21:30:00,1.118,False,0.0,0.2,0.4,1.8,2.0,0.2,4.6,4.6,4.4,4.0,2.2,0.2
2022-03-30 07:40:00,2.402,True,8.4,9.6,5.0,2.6,0.0,0.0,25.6,17.2,7.6,2.6,0.0,0.0
2022-04-04 00:30:00,2.38,True,0.0,0.2,3.2,3.8,0.0,0.0,7.2,7.2,7.0,3.8,0.0,0.0
2022-04-05 08:40:00,1.647,False,1.2,0.6,0.4,0.0,0.2,0.4,2.8,1.6,1.0,0.6,0.6,0.4
2022-04-05 15:40:00,0.701,False,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4
2022-04-11 16:10:00,3.101,True,0.4,6.2,3.2,0.0,0.0,0.0,9.8,9.4,3.2,0.0,0.0,0.0
2022-04-21 07:40:00,3.057,True,14.4,15.2,10.8,0.2,0.0,0.0,40.6,26.2,11.0,0.2,0.0,0.0
2022-04-28 14:20:00,0.783,False,0.0,0.0,2.4,0.2,7.2,0.0,9.8,9.8,9.8,7.4,7.2,0.0
