inicio,fin,local,local_fecha,global,global_fecha,duracion_evento,duracion_local,duracion_global
2022-03-10 21:20:00,2022-03-11 01:40:00,2.52096045987647,2022-03-10 22:00:00,2.52096045987647,2022-03-10 22:00:00,260.0,40.0,40.0
2022-03-11 02:30:00,2022-03-11 07:10:00,1.24550802554861,2022-03-11 03:50:00,1.24550802554861,2022-03-11 03:50:00,280.0,80.0,80.0
2022-03-11 11:40:00,2022-03-11 12:30:00,,,0.33692058152608,2022-03-11 12:00:00,50.0,,20.0
2022-03-11 13:50:00,2022-03-11 14:40:00,,,0.34903910887731,2022-03-11 14:00:00,50.0,,10.0
2022-03-18 17:20:00,2022-03-18 20:00:00,1.505,2022-03-18 17:50:00,1.505,2022-03-18 17:50:00,160.0,30.0,30.0
2022-03-19 00:20:00,2022-03-19 00:50:00,,,,,30.0,,
2022-03-22 18:10:00,2022-03-22 23:20:00,3.705,2022-03-22 18:50:00,3.705,2022-03-22 18:50:00,310.0,40.0,40.0
2022-03-23 07:00:00,2022-03-23 15:30:00,1.834,2022-03-23 08:20:00,3.746,2022-03-23 10:00:00,510.0,80.0,180.0
2022-03-24 21:30:00,2022-03-25 02:30:00,1.08,2022-03-24 22:00:00,1.118,2022-03-24 22:50:00,300.0,30.0,80.0
2022-03-30 07:40:00,2022-03-30 12:20:00,2.402,2022-03-30 08:10:00,2.402,2022-03-30 08:10:00,280.0,30.0,30.0
2022-04-04 00:30:00,2022-04-04 06:10:00,2.38,2022-04-04 00:50:00,2.38,2022-04-04 00:50:00,340.0,20.0,20.0
2022-04-05 08:40:00,2022-04-05 12:20:00,1.647,2022-04-05 09:40:00,1.647,2022-04-05 09:40:00,220.0,60.0,60.0
2022-04-05 15:40:00,2022-04-05 17:20:00,,,0.701,2022-04-05 15:50:00,100.0,,10.0
2022-04-07 16:00:00,2022-04-07 16:20:00,,,,,20.0,,
2022-04-11 16:10:00,2022-04-11 22:30:00,1.172,2022-04-11 16:50:00,3.101,2022-04-11 18:20:00,380.0,40.0,130.0
2022-04-21 07:40:00,2022-04-21 11:50:00,3.057,2022-04-21 08:10:00,3.057,2022-04-21 08:10:00,250.0,30.0,30.0
2022-04-22 21:30:00,2022-04-22 22:50:00,,,,,80.0,,
2022-04-28 14:20:00,2022-04-28 16:10:00,0.783,2022-04-28 14:50:00,0.783,2022-04-28 14:50:00,110.0,30.0,30.0
2022-04-29 02:20:00,2022-04-29 03:00:00,,,,,40.0,,
2022-08-06 12:30:00,2022-08-06 13:20:00,,,0.363776113646026,2022-08-06 12:40:00,50.0,,10.0
2022-09-19 03:50:00,2022-09-19 05:40:00,,,0.717402851972574,2022-09-19 04:00:00,110.0,,10.0
2022-09-19 06:50:00,2022-09-19 09:20:00,,,0.450611809971776,2022-09-19 07:20:00,150.0,,30.0
2022-09-19 12:00:00,2022-09-19 13:10:00,,,0.477795221386401,2022-09-19 12:20:00,70.0,,20.0
2022-09-30 08:10:00,2022-09-30 13:30:00,0.816571114868543,2022-09-30 08:30:00,0.824498359826104,2022-09-30 11:10:00,320.0,20.0,180.0
2022-10-06 03:50:00,2022-10-06 09:00:00,1.84859511181722,2022-10-06 04:20:00,1.84859511181722,2022-10-06 04:20:00,310.0,30.0,30.0
2022-10-10 09:10:00,2022-10-10 14:00:00,1.65394777544466,2022-10-10 09:40:00,1.65394777544466,2022-10-10 09:40:00,290.0,30.0,30.0
2022-10-11 08:50:00,2022-10-11 10:50:00,,,0.352336062317099,2022-10-11 10:20:00,120.0,,90.0
2022-10-13 17:40:00,2022-10-13 21:20:00,,,0.490993341268177,2022-10-13 18:10:00,220.0,,30.0
2022-10-17 16:00:00,2022-10-17 18:30:00,0.835268641811172,2022-10-17 16:50:00,0.835268641811172,2022-10-17 16:50:00,150.0,50.0,50.0
2022-10-19 14:20:00,2022-10-19 15:30:00,,,0.460177824844474,2022-10-19 14:30:00,70.0,,10.0
2022-10-19 16:40:00,2022-10-19 22:20:00,1.10666066783268,2022-10-19 17:20:00,1.10666066783268,2022-10-19 17:20:00,340.0,40.0,40.0
2022-10-20 11:30:00,2022-10-20 15:30:00,0.980763675226278,2022-10-20 12:00:00,0.980763675226278,2022-10-20 12:00:00,240.0,30.0,30.0
2022-10-26 18:30:00,2022-10-26 22:10:00,3.08186402205165,2022-10-26 18:50:00,3.08186402205165,2022-10-26 18:50:00,220.0,20.0,20.0
2022-10-29 18:50:00,2022-10-29 21:40:00,1.26638031941394,2022-10-29 19:50:00,1.26638031941394,2022-10-29 19:50:00,170.0,60.0,60.0
2022-10-30 02:40:00,2022-10-30 09:00:00,2.88363894214422,2022-10-30 03:10:00,2.88363894214422,2022-10-30 03:10:00,380.0,30.0,30.0
2022-10-30 20:40:00,2022-10-30 22:40:00,1.36201362777083,2022-10-30 20:50:00,1.36201362777083,2022-10-30 20:50:00,120.0,10.0,10.0
2022-10-31 07:10:00,2022-10-31 09:20:00,,,0.530503824756971,2022-10-31 08:20:00,130.0,,70.0
2022-11-10 14:50:00,2022-11-10 16:40:00,,,0.455523889441467,2022-11-10 15:30:00,110.0,,40.0
2022-11-10 21:00:00,2022-11-10 22:10:00,,,0.464780802443396,2022-11-10 21:10:00,70.0,,10.0
2022-11-13 00:40:00,2022-11-13 06:20:00,2.24678114339337,2022-11-13 02:30:00,2.24678114339337,2022-11-13 02:30:00,340.0,110.0,110.0
2022-11-21 01:10:00,2022-11-21 02:50:00,0.729352505654276,2022-11-21 01:40:00,0.729352505654276,2022-11-21 01:40:00,100.0,30.0,30.0
2022-11-21 12:30:00,2022-11-21 14:30:00,,,0.612701728800855,2022-11-21 13:10:00,120.0,,40.0
2022-11-30 16:40:00,2022-11-30 18:30:00,1.07048918473176,2022-11-30 17:10:00,1.07048918473176,2022-11-30 17:10:00,110.0,30.0,30.0
2022-12-10 17:30:00,2022-12-10 19:00:00,,,,,90.0,,
