fecha,nivel,sil,snd,aisp
2021-06-14 18:00:00,0.0997,0.0,0.0,0.0
2021-06-14 18:10:00,0.0984,0.0,0.0,0.0
2021-06-14 18:20:00,0.0975,0.0,0.0,0.0
2021-06-14 18:30:00,0.0968,0.0,0.0,0.0
2021-06-14 18:40:00,0.0991,0.0,0.0,0.0
2021-06-14 18:50:00,0.0949,0.0,0.0,0.0
2021-06-14 19:00:00,0.0956,0.0,0.0,0.0
2021-06-14 19:10:00,0.0969,0.0,0.0,0.0
2021-06-14 19:20:00,0.095,0.0,0.0,0.0
2021-06-14 19:30:00,0.0947,0.0,0.0,0.0
2021-06-14 19:40:00,0.0955,0.0,0.0,0.0
2021-06-14 19:50:00,0.0944,0.0,0.0,0.0
2021-06-14 20:00:00,0.0964,0.0,0.0,0.0
2021-06-14 20:10:00,0.0955,0.0,0.0,0.0
2021-06-14 20:20:00,0.0964,0.0,0.0,0.0
2021-06-14 20:30:00,0.0937,0.0,0.0,0.0
2021-06-14 20:40:00,0.0923,0.0,0.0,0.0
2021-06-14 20:50:00,0.0931,0.0,0.0,0.0
2021-06-14 21:00:00,0.0932,0.0,0.0,0.0
2021-06-14 21:10:00,0.0903,0.0,0.0,0.0
2021-06-14 21:20:00,0.0904,0.0,0.0,0.0
2021-06-14 21:30:00,0.0884,0.0,0.0,0.0
2021-06-14 21:40:00,0.0896,0.0,0.0,0.0
2021-06-14 21:50:00,0.0876,0.0,0.0,0.0
2021-06-14 22:00:00,0.0872,0.0,0.0,0.0
2021-06-14 22:10:00,0.0864,0.0,0.0,0.0
2021-06-14 22:20:00,0.0878,0.0,0.0,0.0
2021-06-14 22:30:00,0.0878,0.0,0.0,0.0
2021-06-14 22:40:00,0.0901,0.0,0.0,0.0
2021-06-14 22:50:00,0.0885,0.0,0.0,0.0
2021-06-14 23:00:00,0.0895,0.0,0.0,0.0
2021-06-14 23:10:00,0.0895,0.0,0.0,0.0
2021-06-14 23:20:00,0.0893,0.0,0.0,0.0
2021-06-14 23:30:00,0.0906,0.0,0.0,0.0
2021-06-15 00:00:00,0.0877,0.0,0.0,0.0
2021-06-15 00:10:00,0.0871,0.0,0.0,0.0
2021-06-15 00:20:00,0.0885,0.0,0.0,0.0
2021-06-15 00:30:00,0.0864,0.0,0.0,0.0
2021-06-15 00:40:00,0.0854,0.0,0.0,0.0
2021-06-15 00:50:00,0.0848,0.0,0.0,0.0
2021-06-15 01:00:00,0.0815,0.0,0.0,0.0
2021-06-15 01:10:00,0.0818,0.0,0.0,0.0
2021-06-15 01:20:00,0.0812,0.0,0.0,0.0
2021-06-15 01:30:00,0.0772,0.0,0.0,0.0
2021-06-15 01:40:00,0.0797,0.0,0.0,0.0
2021-06-15 01:50:00,0.0781,0.0,0.0,0.0
2021-06-15 02:00:00,0.0785,0.0,0.0,0.0
2021-06-15 02:10:00,0.0738,0.0,0.0,0.0
2021-06-15 02:20:00,0.0752,0.0,0.0,0.0
2021-06-15 02:30:00,0.0719,0.0,0.0,0.0
