fecha,nivel,aisp
2021-05-25 15:00:00,0.101,0.0
2021-05-25 15:10:00,0.0966,0.0
2021-05-25 15:20:00,0.0971,0.0
2021-05-25 15:30:00,0.0983,0.0
2021-05-25 15:40:00,0.1,0.0
2021-05-25 15:50:00,0.097,0.0
2021-05-25 16:00:00,0.1003,0.0
2021-05-25 16:10:00,0.0984,0.0
2021-05-25 16:20:00,0.0984,0.0
2021-05-25 16:30:00,0.0978,0.0
2021-05-25 16:40:00,0.0953,0.0
2021-05-25 16:50:00,0.0987,0.0
2021-05-25 17:00:00,0.0957,0.0
2021-05-25 17:10:00,0.0909,0.0
2021-05-25 17:20:00,0.0905,0.0
2021-05-25 17:30:00,0.0905,0.0
2021-05-25 17:40:00,0.0903,0.0
2021-05-25 17:50:00,0.0899,0.0
2021-05-25 18:00:00,0.0899,0.0
2021-05-25 18:10:00,0.0898,0.0
2021-05-25 18:20:00,0.0894,0.0
2021-05-25 18:30:00,0.088,0.0
2021-05-25 18:40:00,0.0856,0.0
2021-05-25 18:50:00,0.0886,0.0
2021-05-25 19:00:00,0.0888,0.0
2021-05-25 19:10:00,0.0845,0.0
2021-05-25 19:20:00,0.0853,0.0
2021-05-25 19:30:00,0.0863,0.0
2021-05-25 19:40:00,0.0886,0.0
2021-05-25 19:50:00,0.0846,0.0
2021-05-25 20:00:00,0.0872,0.0
2021-05-25 20:10:00,0.0862,0.0
2021-05-25 20:20:00,0.0852,0.0
2021-05-25 20:30:00,0.0868,0.0
2021-05-25 20:40:00,0.0836,0.0
2021-05-25 20:50:00,0.0862,0.0
2021-05-25 21:00:00,0.0852,0.0
2021-05-25 21:10:00,0.0842,0.0
2021-05-25 21:20:00,0.0858,0.0
2021-05-25 21:30:00,0.0832,0.0
2021-05-25 21:40:00,0.0832,0.0
2021-05-25 21:50:00,0.0821,0.0
2021-05-25 22:00:00,0.0811,0.0
2021-05-25 22:10:00,0.0815,0.0
2021-05-25 22:20:00,0.0842,0.0
2021-05-25 22:30:00,0.0832,0.0
2021-05-25 22:40:00,0.0848,0.0
2021-05-25 22:50:00,0.0832,0.0
2021-05-25 23:00:00,0.0832,0.0
2021-05-25 23:10:00,0.083,0.0
2021-05-25 23:20:00,0.0809,0.0
2021-05-25 23:30:00,0.0809,0.0
2021-05-25 23:40:00,0.0825,0.0
2021-05-25 23:50:00,0.0803,0.0
2021-05-26 00:00:00,0.0823,0.0
2021-05-26 00:10:00,0.0807,0.0
2021-05-26 00:20:00,0.0805,0.0
2021-05-26 00:30:00,0.0806,0.0
2021-05-26 00:40:00,0.0786,0.0
2021-05-26 00:50:00,0.0786,0.0
2021-05-26 01:00:00,0.0769,0.0
2021-05-26 01:10:00,0.0773,0.0
2021-05-26 01:20:00,0.0767,0.0
2021-05-26 01:30:00,0.0755,0.0
2021-05-26 01:40:00,0.0734,0.0
2021-05-26 01:50:00,0.0707,0.0
2021-05-26 02:00:00,0.0701,0.0
2021-05-26 02:10:00,0.0695,0.0
2021-05-26 02:20:00,0.0692,0.0
2021-05-26 02:30:00,0.0696,0.0
2021-05-26 02:40:00,0.0685,0.0
2021-05-26 02:50:00,0.0659,0.0
2021-05-26 03:00:00,0.0663,0.0
2021-05-26 03:10:00,0.064,0.0
2021-05-26 03:20:00,0.0624,0.0
2021-05-26 03:30:00,0.064,0.0
2021-05-26 03:40:00,0.0624,0.0
2021-05-26 03:50:00,0.0631,0.0
2021-05-26 04:00:00,0.0628,0.0
2021-05-26 04:10:00,0.0585,0.0
2021-05-26 04:20:00,0.0628,0.0
2021-05-26 04:30:00,0.0638,0.0
2021-05-26 04:40:00,0.0612,0.0
2021-05-26 04:50:00,0.0618,0.0
2021-05-26 05:00:00,0.0628,0.0
2021-05-26 05:10:00,0.0602,0.0
2021-05-26 05:20:00,0.0618,0.0
2021-05-26 05:30:00,0.0621,0.0
2021-05-26 05:40:00,0.0575,0.0
2021-05-26 05:50:00,0.0591,0.0
2021-05-26 06:00:00,0.0588,0.0
2021-05-26 06:10:00,0.0585,0.0
2021-05-26 06:20:00,0.0575,0.0
2021-05-26 06:30:00,0.0591,0.0
2021-05-26 06:40:00,0.0585,0.0
2021-05-26 06:50:00,0.0581,0.0
2021-05-26 07:00:00,0.0581,0.0
2021-05-26 07:10:00,0.0604,0.0
2021-05-26 07:20:00,0.0593,0.0
2021-05-26 07:30:00,0.0604,0.0
2021-05-26 07:40:00,0.0579,0.0
2021-05-26 07:50:00,0.0576,0.0
2021-05-26 08:00:00,0.0586,0.0
2021-05-26 08:10:00,0.0592,0.0
2021-05-26 08:20:00,0.0613,0.0
2021-05-26 08:30:00,0.0611,0.0
2021-05-26 08:40:00,0.0617,0.0
2021-05-26 08:50:00,0.0639,0.0
2021-05-26 09:00:00,0.0655,0.0
2021-05-26 09:10:00,0.0712,0.0
2021-05-26 09:20:00,0.0671,0.0
2021-05-26 09:30:00,0.0694,0.0
2021-05-26 09:40:00,0.0709,0.0
2021-05-26 09:50:00,0.0709,0.0
2021-05-26 10:00:00,0.0787,0.0
2021-05-26 10:10:00,0.0813,0.0
2021-05-26 10:20:00,0.0869,0.0
2021-05-26 10:30:00,0.0874,0.0
2021-05-26 10:40:00,0.0909,0.0
2021-05-26 10:50:00,0.0907,0.0
2021-05-26 11:00:00,0.0906,0.0
2021-05-26 11:10:00,0.0937,0.0
2021-05-26 11:20:00,0.0957,0.0
2021-05-26 11:30:00,0.1001,0.0
2021-05-26 11:40:00,0.1005,0.0
2021-05-26 11:50:00,0.1013,0.0
2021-05-26 12:00:00,0.1034,0.0
2021-05-26 12:10:00,0.1032,0.0
2021-05-26 12:20:00,0.0999,0.0
2021-05-26 12:30:00,0.0995,0.0
2021-05-26 12:40:00,0.1021,0.0
2021-05-26 12:50:00,0.1005,0.0
2021-05-26 13:00:00,0.1021,0.0
2021-05-26 13:10:00,0.103,0.0
2021-05-26 13:20:00,0.0984,0.0
2021-05-26 13:30:00,0.1013,0.0
2021-05-26 13:40:00,0.0981,0.0
2021-05-26 13:50:00,0.1022,0.0
2021-05-26 14:00:00,0.1029,0.0
2021-05-26 14:10:00,0.1011,0.0
2021-05-26 14:20:00,0.1019,0.0
